time_us,speed_ms,acceleration,yaw,steer_angle,throttle_status,break_status,auto_state
1569494651711995,3.96151,-0.00476074,2.71264,-0.558505,0,0,0
1569494651732222,3.95469,-0.0153809,2.71207,-0.541052,0,0,0
1569494651751881,3.95191,-0.00476074,2.71149,-0.523599,0,0,0
1569494651772200,3.94359,-0.00256348,2.71092,-0.523599,0,0,0
1569494651792128,3.93677,-0.0186768,2.71015,-0.506145,0,0,0
1569494651812520,3.92995,-0.019043,2.70957,-0.506145,0,0,0
1569494651832322,3.92741,-0.00219727,2.709,-0.488692,0,0,0
1569494651852858,3.91738,-0.0131836,2.70842,-0.488692,0,0,0
1569494651872271,3.9161,-0.00622559,2.70784,-0.471239,0,0,0
1569494651892256,3.91184,-0.00256348,2.70727,-0.453786,0,0,0
1569494651912262,3.90353,-0.00952148,2.70671,-0.436332,0,0,0
1569494651932123,3.89929,0.00219727,2.70613,-0.436332,0,0,0
1569494651952115,3.89118,-0.00952148,2.70575,-0.418879,0,0,0
1569494651972013,3.88288,-0.00512695,2.70517,-0.401426,0,0,0
1569494651992233,3.87477,-0.0102539,2.7046,-0.383972,0,0,0
1569494652012053,3.86518,-0.00769043,2.70421,-0.349066,0,0,0
1569494652031928,3.85412,-0.00805664,2.70364,-0.331613,0,0,0
1569494652052029,3.84989,-0.0117188,2.70325,-0.314159,0,0,0
1569494652071895,3.84989,-0.00585938,2.70287,-0.296706,0,0,0
1569494652092273,3.84306,-0.0098877,2.70249,-0.279253,0,0,0
1569494652112117,3.83624,-0.013916,2.7021,-0.261799,0,0,0
1569494652131984,3.82813,-0.00219727,2.70172,-0.261799,0,0,0
1569494652152727,3.81984,-0.0197754,2.70133,-0.244346,0,0,0
1569494652192591,3.80879,-0.0065918,2.70076,-0.226893,0,0,0
1569494652212387,3.79791,0,2.70057,-0.20944,0,0,0
1569494652231876,3.79093,-0.019043,2.70037,-0.20944,0,0,0
1569494652251832,3.78004,-0.00585938,2.70018,-0.191986,0,0,0
1569494652272785,3.78934,-0.00695801,2.69999,-0.191986,0,0,0
1569494652292405,3.77453,-0.00695801,2.6998,-0.174533,0,0,0
1569494652312409,3.7664,-0.00292969,2.69961,-0.174533,0,0,0
1569494652332038,3.75682,-0.00292969,2.69961,-0.15708,0,0,0
1569494652352182,3.74593,-0.00622559,2.69941,-0.15708,0,0,0
1569494652371931,3.73505,-0.0153809,2.69922,-0.15708,0,0,0
1569494652392064,3.72808,-0.0032959,2.69922,-0.15708,0,0,0
1569494652413259,3.72677,0.00146484,2.69903,-0.15708,0,0,0
1569494652432149,3.72271,-0.00402832,2.69903,-0.15708,0,0,0
1569494652452331,3.71995,-0.00585938,2.69884,-0.15708,0,0,0
1569494652472102,3.73214,-0.0102539,2.69884,-0.139626,0,0,0
1569494652493039,3.71995,0.00146484,2.69865,-0.139626,0,0,0
1569494652512631,3.71037,-0.0128174,2.69845,-0.139626,0,0,0
1569494652532056,3.70776,-0.00292969,2.69845,-0.139626,0,0,0
1569494652552576,3.7063,-0.00146484,2.69826,-0.139626,0,0,0
1569494652571659,3.69803,0.00146484,2.69826,-0.139626,0,0,0
1569494652592343,3.69382,-0.00732422,2.69807,-0.139626,0,0,0
1569494652612134,3.69107,-0.00769043,2.69788,-0.139626,0,0,0
1569494652632254,3.68005,0,2.69788,-0.139626,0,0,0
1569494652652238,3.6706,-0.00952148,2.69769,-0.139626,0,0,0
1569494652672144,3.67611,-0.0117188,2.69769,-0.139626,0,0,0
1569494652712360,3.6584,-0.00915527,2.6973,-0.139626,0,0,0
1569494652731997,3.65289,-0.00878906,2.6973,-0.139626,0,0,0
1569494652752073,3.64882,-0.00512695,2.69711,-0.139626,0,0,0
1569494652772170,3.642,-0.0109863,2.69711,-0.139626,0,0,0
1569494652792254,3.62835,-0.0172119,2.69711,-0.139626,0,0,0
1569494652812189,3.61733,-0.0128174,2.69692,-0.139626,0,0,0
1569494652832256,3.61051,-0.00878906,2.69692,-0.139626,0,0,0
1569494652852742,3.605,-0.0128174,2.69673,-0.139626,0,0,0
1569494652872899,3.61733,-0.0131836,2.69653,-0.139626,0,0,0
1569494652892502,3.60789,-0.0113525,2.69653,-0.139626,0,0,0
1569494652912362,3.60237,-0.0113525,2.69634,-0.139626,0,0,0
1569494652932114,3.59411,-0.0186768,2.69634,-0.139626,0,0,0
1569494652953256,3.58178,-0.00732422,2.69615,-0.139626,0,0,0
1569494652972202,3.58034,-0.0098877,2.69596,-0.139626,0,0,0
1569494652992415,3.56802,-0.00622559,2.69596,-0.139626,0,0,0
1569494653013050,3.56394,-0.0183105,2.69577,-0.139626,0,0,0
1569494653032440,3.55437,-0.0161133,2.69577,-0.122173,0,0,0
1569494653052892,3.54766,-0.00915527,2.69557,-0.122173,0,0,0
1569494653072412,3.55999,-0.0098877,2.69557,-0.122173,0,0,0
1569494653092420,3.55317,-0.00695801,2.69538,-0.10472,0,0,0
1569494653112350,3.54635,-0.0146484,2.69538,-0.0872665,0,0,0
1569494653132326,3.54359,-0.0128174,2.69519,-0.0872665,0,0,0
1569494653152061,3.54097,-0.0230713,2.69519,-0.0872665,0,0,0
1569494653172205,3.53546,-0.00805664,2.695,-0.0872665,0,0,0
1569494653192371,3.52588,-0.0128174,2.695,-0.0872665,0,0,0
1569494653232318,3.52037,-0.012085,2.69481,-0.0872665,0,0,0
